Prefecture,City,amount_2008,amount_2009,amount_2010,amount_2011,amount_2012,amount_2013,amount_2014,amount_2015,amount_2016,amount_2017,amount_2018,amount_2019,number_2008,number_2009,number_2010,number_2011,number_2012,number_2013,number_2014,number_2015,number_2016,number_2017,number_2018,number_2019
大分県,日田市,180,2600,1530,1030,32208,0,18190,54739,119944,270898,168739,406532,3,8,8,2,10,4,984,3102,6251,13551,8160,18257
大分県,佐伯市,1600,1792,980,810,735,1014,6521,280813,489321,1350212,880221,684521,13,14,17,15,16,33,140,8226,15505,23968,25230,18429
大分県,臼杵市,2387,7670,7730,6898,1810,12170,7795,101603,107241,326408,366126,801247,21,21,14,14,17,23,60,2476,2427,9272,11715,41581
大分県,津久見市,180,1170,1110,980,2120,2326,3623,20786,27963,54261,44902,92140,3,7,7,5,8,15,29,667,1514,1985,2096,6362
大分県,竹田市,1270,845,1200,2489,1646,3080,3350,24706,34874,45044,237902,315490,34,13,15,25,21,18,30,833,1226,2664,24036,17334
大分県,豊後高田市,280,1870,1315,1705,2650,3673,32438,100882,131106,142305,280262,460158,3,8,18,23,26,41,2091,5778,9607,8839,15941,32224
大分県,杵築市,2711,560,612,503,827,3219,6293,104305,205744,254795,164522,411690,65,13,14,19,23,88,168,2105,8288,14764,6437,21200
大分県,宇佐市,3015,5115,5555,7167,3887,6788,15529,33915,33938,37267,98353,100612,25,28,29,26,33,59,819,1606,1688,1856,5582,4884
大分県,豊後大野市,1010,3119,1213,1798,1970,31750,12843,4245,42709,82839,95824,158432,13,20,16,22,26,44,69,89,2645,5700,6510,10501
大分県,由布市,1385,2120,1745,2765,749,917,740,1336,21650,96486,177325,135941,5,6,10,9,14,21,18,23,1034,7179,12518,5258
大分県,国東市,898,894,1135,1195,1047,1629,9156,1108269,2492675,3239194,2381876,2283402,12,12,13,16,14,27,488,31011,55414,142974,110960,108988
大分県,姫島村,0,0,400,300,125,320,515,1017,1230,1060,1380,1780,0,0,3,2,2,5,13,12,9,10,9,34
大分県,日出町,915,1950,1391,1320,135,4125,7137,13176,38507,34650,46004,317503,16,9,13,13,3,7,113,180,1342,755,1432,17553
大分県,九重町,5430,3790,2320,1950,1180,420,365,1610,26637,32298,33388,84083,8,9,7,9,11,11,12,51,1458,1306,2687,8509
大分県,玖珠町,70,475,570,1820,795,2790,1505,13650,31090,29855,251381,37435,2,14,24,22,18,18,43,810,2683,2215,4110,3151
宮崎県,宮崎県,8787,3989,135478,9894,11211,3431,3200,104149,97382,80675,29853,83342,36,16,4401,61,34,46,33,1887,1843,1419,674,2112
宮崎県,宮崎市,818,2348,3359,666,801,9367,902,81522,406279,440607,327206,402043,11,11,46,9,13,19,25,1423,10685,12530,10039,14918
宮崎県,都城市,3226,2495,9151,3338,2566,9641,499823,4231234,7333161,7474220,9562349,10645341,22,18,122,39,21,38,28653,288338,528242,523164,638544,503916
宮崎県,延岡市,2212,1895,3320,1840,4120,3308,1403,62029,62399,69102,142110,361814,13,15,27,20,27,31,20,2660,2551,3524,5189,8388
宮崎県,日南市,4216,7240,7867,9450,11272,7090,12271,348250,306883,179083,125849,751665,22,26,36,29,30,55,54,26745,19732,10552,5830,49486
宮崎県,小林市,4002,4056,3143,1574,1574,6993,130764,666971,1055462,914096,694242,830774,64,37,80,65,69,355,6339,23052,29930,29991,20306,26820
宮崎県,日向市,525,2730,2950,930,1548,2497,248060,517278,282231,278258,252566,634432,14,20,31,16,33,67,15478,30056,15340,14458,14950,30683
宮崎県,串間市,460,468,1311,488,802,876,3807,28722,408543,102450,150705,76301,34,15,18,7,11,15,90,840,33764,5873,11226,4764
宮崎県,西都市,1515,1248,3663,1590,1715,1838,17643,494219,765650,654456,862531,1433510,38,33,83,39,46,61,876,30578,23884,40169,63863,73610
宮崎県,えびの市,2725,3875,6417,4349,3991,3527,4529,82852,580662,558276,417976,473414,21,23,58,44,54,57,101,2704,24875,34352,27258,20457
